question_id,dataset,subject,question,option_a,option_b,option_c,option_d,correct_answer,correct_letter,question_length,has_negation,has_numerical,domain_category,has_misleading_premise,reasoning_steps,option_similarity
mmlu_00432,mmlu,business_ethics,The extent to which an individual believes they can control their life is determined by their __________.,Moral imagination,Personal integrity,Cognitive moral development,Locus of control,Locus of control,D,17,0,0,Professional/Other,0,2,0.3263966739177704
mmlu_07558,mmlu,miscellaneous,What was the average life expectancy of white males born in the U.S. just before the Civil War?,40 years,50 years,60 years,70 years,40 years,A,18,0,1,Professional/Other,0,3,0.8404647707939148
mmlu_01510,mmlu,computer_security,Which of the following deals with network intrusion detection and real-time traffic analysis?,John the Ripper,L0phtCrack,Snort,Nessus,Snort,C,13,0,0,STEM,0,2,0.15852808952331543
mmlu_13312,mmlu,security_studies,Security studies can be interpreted as an imperial field of knowledge in which of the following ways?,Security studies emerged in relation to the interests of the USA and Britain following the Second World War.,Security studies adopts a perspective which postcolonial scholars refer to as 'the colonizer's view of the world'.,Security studies was originally defined by the power of the USA and Britain at a time when they actively supported colonial and imperial relations in the global south.,All of these options.,All of these options.,D,17,0,0,Social Sciences,0,2,0.3543991148471832
mmlu_07899,mmlu,miscellaneous,Earth's seasons are caused by which of the following?,The tilt of Earth's axis of rotation relative to the ecliptic as Earth revolves around the Sun,The varying amount of sunspot activity,Earth's orbit about the Sun as an ellipse rather than a circle,The rotation of Earth during a 24-hour day,The tilt of Earth's axis of rotation relative to the ecliptic as Earth revolves around the Sun,A,9,0,0,Professional/Other,0,1,0.44152235984802246
mmlu_01767,mmlu,conceptual_physics,"The difference between dc and ac in electric circuits is that in dc, charges flow",steadily in one direction,in one direction,to and fro,All of these,in one direction,B,15,0,0,STEM,0,2,0.2865196168422699
mmlu_07246,mmlu,marketing,This business-to-business pricing approach seeks to understand customers' needs before pricing the offering according to those needs in order to generate a long-term relationship. This is referred to as:,Geographical pricing.,Discount pricing.,Relationship pricing.,Value-in-use pricing.,Relationship pricing.,C,29,0,0,Professional/Other,0,3,0.6602265238761902
mmlu_00808,mmlu,college_biology,"Nerve outgrowth from a developing neuron begins at the growth cone, located at the tip of the axon. Microspikes of the growth cone extend and retract in order to move the growth cone forward. Exposure of the neuron to cytochasalin B at this stage of development causes",microtubules in the axon to undergo reversible dissociation,microtubules in the axon to undergo irreversible dissociation,microfilaments in the microspike to undergo reversible depolymerization,microfilaments in the microspike to undergo irreversible depolymerization,microfilaments in the microspike to undergo reversible depolymerization,C,47,0,0,STEM,0,4,0.5786988139152527
arc_00952,arc_challenge,science,Many grass snakes are green. The color of the snake most likely helps it to,climb tall trees.,fit into small spaces.,hide when threatened.,shed its skin.,hide when threatened.,C,15,0,0,STEM,0,2,0.20414282381534576
mmlu_10730,mmlu,professional_law,"A man arranged to have custom-made wooden shutters installed on the windows of his home. The contractor who installed the shutters did so by drilling screws and brackets into the exterior window frames and the shutters. The man later agreed to sell the home to a buyer. The sales agreement did not mention the shutters, the buyer did not inquire about them, and the buyer did not conduct a walkthrough inspection of the home before the closing. The man conveyed the home to the buyer by warranty deed. After the sale closed, the buyer noticed that the shutters and brackets had been removed from the home and that the window frames had been repaired and repainted. The buyer demanded that the man return the shutters and pay the cost of reinstallation, claiming that the shutters had been conveyed to him with the sale of the home. When the man refused, the buyer sued. Is the buyer likely to prevail?","No, because the sales agreement did not mention the shutters.","No, because the window frames had been repaired and repainted after removal of the shutters.","Yes, because the shutters had become fixtures.","Yes, because the man gave the buyer a warranty deed and the absence of the shutters violated a covenant of the deed.","Yes, because the shutters had become fixtures.",C,159,1,0,Professional/Other,0,4,0.6480887532234192
